Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
66,66,1998-03-19,22-242,MIL,@,ATL,L (-3),1,46:00,6,21,.286,2,7,.286,7,8,.875,3,7,10,6,1,0,1,2,21,15.9
67,67,1998-03-22,22-245,MIL,,IND,L (-2),1,47:00,9,26,.346,1,5,.200,6,6,1.000,0,4,4,2,2,0,6,1,25,8.6
68,68,1998-03-24,22-247,MIL,,HOU,W (+10),1,47:00,13,23,.565,2,4,.500,5,5,1.000,4,4,8,5,3,0,2,4,33,29.0
69,69,1998-03-26,22-249,MIL,@,CHH,L (-14),1,38:00,7,19,.368,2,6,.333,2,2,1.000,0,7,7,1,0,0,4,5,18,4.3
70,70,1998-03-27,22-250,MIL,@,MIA,L (-25),1,32:00,3,14,.214,0,3,.000,1,2,.500,1,3,4,6,1,0,2,4,7,1.2
71,71,1998-03-29,22-252,MIL,,CHI,L (-17),1,41:00,10,18,.556,3,6,.500,4,4,1.000,2,5,7,4,1,0,6,1,27,18.7
72,72,1998-03-31,22-254,MIL,@,GSW,W (+5),1,43:00,8,20,.400,1,2,.500,8,8,1.000,1,6,7,4,3,0,2,6,25,18.1
73,73,1998-04-01,22-255,MIL,@,DEN,W (+6),1,43:00,7,16,.438,3,8,.375,4,4,1.000,0,3,3,7,1,2,3,4,21,16.2
74,74,1998-04-03,22-257,MIL,@,SAC,W (+1),1,39:00,4,17,.235,0,4,.000,2,2,1.000,4,1,5,0,0,0,2,4,10,-0.8
75,75,1998-04-05,22-259,MIL,@,IND,L (-1),1,46:00,7,15,.467,1,3,.333,7,7,1.000,2,1,3,6,1,0,4,3,22,16.0
76,76,1998-04-07,22-261,MIL,,TOR,W (+9),1,38:00,9,12,.750,4,5,.800,6,6,1.000,3,3,6,5,2,1,3,4,28,27.8
77,77,1998-04-08,22-262,MIL,@,TOR,W (+7),1,40:00,9,18,.500,2,5,.400,5,6,.833,2,4,6,4,1,1,4,0,25,18.7
78,78,1998-04-11,22-265,MIL,,NJN,L (-7),1,45:00,6,17,.353,3,7,.429,5,6,.833,1,5,6,7,1,0,1,3,20,16.0
79,79,1998-04-14,22-268,MIL,,CHH,L (-22),1,36:00,2,16,.125,0,6,.000,7,9,.778,3,4,7,3,2,0,1,4,11,4.6
80,80,1998-04-15,22-269,MIL,@,BOS,W (+8),1,41:00,5,12,.417,0,3,.000,9,13,.692,3,3,6,8,1,0,0,1,19,20.2
81,81,1998-04-17,22-271,MIL,@,DET,L (-6),1,45:00,9,18,.500,1,5,.200,6,8,.750,2,4,6,8,1,0,5,2,25,18.6
82,82,1998-04-18,22-272,MIL,,MIN,L (-2),1,45:00,15,27,.556,6,10,.600,4,6,.667,5,5,10,4,3,0,5,0,40,32.1
1,1,1999-02-06,23-201,MIL,@,CHH,W (+6),1,41:00,8,13,.615,3,5,.600,6,8,.750,1,2,3,5,1,0,2,1,25,21.7
2,2,1999-02-09,23-204,MIL,@,TOR,W (+14),1,31:00,5,10,.500,1,2,.500,6,6,1.000,0,2,2,3,3,0,1,2,17,15.9
3,3,1999-02-11,23-206,MIL,,NJN,W (+20),1,30:00,6,9,.667,1,2,.500,6,6,1.000,1,0,1,3,4,1,3,2,19,18.8
4,4,1999-02-14,23-209,MIL,@,ORL,L (-3),1,32:00,4,13,.308,0,3,.000,0,0,,2,4,6,4,0,0,5,0,8,0.9
5,5,1999-02-16,23-211,MIL,@,PHI,W (+1),1,30:00,2,8,.250,1,4,.250,2,2,1.000,1,1,2,2,3,0,2,4,7,4.0
6,6,1999-02-17,23-212,MIL,,CHI,W (+8),1,34:00,5,8,.625,2,3,.667,3,4,.750,0,4,4,3,1,0,5,5,15,8.3
7,7,1999-02-19,23-214,MIL,@,TOR,L (-8),1,27:00,4,12,.333,2,4,.500,0,0,,0,1,1,2,0,1,2,2,10,2.8
8,8,1999-02-20,23-215,MIL,,IND,L (-2),1,28:00,3,10,.300,1,5,.200,0,0,,2,3,5,4,0,0,0,0,7,6.3
9,9,1999-02-23,23-218,MIL,@,CHI,W (+2),1,31:00,6,11,.545,1,3,.333,3,3,1.000,2,1,3,4,0,0,0,4,16,13.6
10,10,1999-02-26,23-221,MIL,@,DEN,L (-1),1,35:00,7,16,.438,2,3,.667,2,2,1.000,1,2,3,3,1,0,1,0,18,13.0
11,11,1999-02-28,23-223,MIL,,PHI,L (-11),1,24:00,7,12,.583,1,3,.333,1,1,1.000,1,0,1,2,1,0,4,3,16,8.3
12,12,1999-03-02,23-225,MIL,@,NJN,W (+8),1,38:00,5,13,.385,1,2,.500,8,8,1.000,2,8,10,0,1,1,5,2,19,11.6
13,13,1999-03-03,23-226,MIL,,GSW,W (+28),1,28:00,6,13,.462,2,3,.667,4,4,1.000,2,2,4,5,0,0,0,0,18,16.8
14,14,1999-03-05,23-228,MIL,,NYK,W (+1),1,32:00,2,12,.167,1,4,.250,4,7,.571,1,2,3,3,0,0,1,1,9,2.2
15,15,1999-03-08,23-231,MIL,,CHI,W (+5),1,36:00,6,13,.462,1,6,.167,4,4,1.000,3,3,6,4,2,1,1,2,17,17.0
16,16,1999-03-09,23-232,MIL,@,NYK,W (+1),1,34:00,2,11,.182,2,6,.333,0,0,,1,4,5,3,2,0,2,2,6,2.3
17,17,1999-03-10,23-233,MIL,,SEA,W (+4),1,35:00,6,14,.429,3,6,.500,4,4,1.000,0,4,4,1,2,0,2,2,19,12.7
18,18,1999-03-12,23-235,MIL,@,IND,L (-5),1,39:00,7,14,.500,2,6,.333,2,2,1.000,1,3,4,6,1,0,3,1,18,14.4
19,19,1999-03-14,23-237,MIL,@,WAS,L (-12),1,39:00,9,19,.474,1,5,.200,3,3,1.000,0,5,5,5,1,0,4,1,22,13.9
20,20,1999-03-15,23-238,MIL,,NYK,L (-6),1,37:00,11,22,.500,3,6,.500,4,5,.800,2,2,4,4,2,0,5,2,29,18.6
21,21,1999-03-16,23-239,MIL,,PHO,L (-18),1,25:00,3,8,.375,1,1,1.000,3,3,1.000,1,1,2,3,0,0,6,3,10,1.5
22,22,1999-03-18,23-241,MIL,,BOS,W (+16),1,35:00,9,12,.750,3,3,1.000,0,0,,1,3,4,7,0,0,1,2,21,20.9
23,23,1999-03-20,23-243,MIL,@,ATL,W (+6),1,25:00,1,9,.111,0,2,.000,6,6,1.000,0,2,2,3,2,0,4,5,8,0.8
24,24,1999-03-21,23-244,MIL,,CHH,L (-7),1,38:00,6,15,.400,1,7,.143,3,4,.750,0,4,4,7,0,0,1,1,16,12.2
25,25,1999-03-22,23-245,MIL,,DET,W (+29),1,26:00,6,9,.667,2,3,.667,5,5,1.000,0,3,3,2,1,0,1,3,19,16.2
26,26,1999-03-24,23-247,MIL,,MIA,L (-8),1,34:00,4,11,.364,0,2,.000,4,4,1.000,1,5,6,2,0,0,2,5,12,5.5
27,27,1999-03-26,23-249,MIL,@,DET,L (-5),1,38:00,7,19,.368,4,9,.444,11,11,1.000,2,4,6,5,3,0,3,3,29,23.4
28,28,1999-03-28,23-251,MIL,@,MIN,W (+9),1,30:00,6,13,.462,2,4,.500,0,0,,1,1,2,1,1,0,2,1,14,7.6
29,29,1999-03-30,23-253,MIL,,WAS,W (+2),1,34:00,8,12,.667,3,3,1.000,6,6,1.000,1,7,8,3,1,0,4,2,25,20.9
30,30,1999-03-31,23-254,MIL,@,CHH,W (+8),1,31:00,9,14,.643,2,2,1.000,0,1,.000,2,3,5,3,1,0,1,2,20,17.0
31,31,1999-04-02,23-256,MIL,@,BOS,W (+1),1,35:00,6,12,.500,1,3,.333,6,8,.750,0,5,5,3,0,1,2,1,19,14.1
32,32,1999-04-04,23-258,MIL,@,CLE,L (-24),1,29:00,0,8,.000,0,4,.000,2,2,1.000,1,4,5,3,1,0,0,2,2,0.6
33,33,1999-04-06,23-260,MIL,@,PHI,L (-8),1,33:00,5,19,.263,0,6,.000,2,2,1.000,2,3,5,7,0,0,0,4,12,6.3
34,34,1999-04-07,23-261,MIL,,CLE,W (+8),1,38:00,7,15,.467,3,5,.600,0,0,,4,1,5,3,1,0,1,5,17,12.5
35,35,1999-04-09,23-263,MIL,@,ORL,L (-12),1,32:00,9,16,.563,2,4,.500,1,2,.500,3,1,4,2,2,0,5,1,21,13.4
36,36,1999-04-11,23-265,MIL,@,MIA,L (-3),1,39:00,11,19,.579,0,2,.000,3,3,1.000,2,2,4,6,2,0,1,3,25,22.1
37,37,1999-04-13,23-267,MIL,,ATL,W (+7),1,36:00,8,14,.571,1,3,.333,1,1,1.000,1,5,6,1,1,0,2,3,18,12.1
38,38,1999-04-14,23-268,MIL,,MIA,W (+12),1,35:00,9,15,.600,2,4,.500,11,12,.917,0,2,2,1,0,0,2,2,31,22.2
39,39,1999-04-16,23-270,MIL,,CHH,L (-1),1,43:00,9,18,.500,1,3,.333,2,4,.500,1,5,6,5,1,0,6,3,21,10.7
40,40,1999-04-18,23-272,MIL,@,CHI,L (-2),1,38:00,7,16,.438,0,6,.000,5,5,1.000,1,3,4,6,1,0,4,3,19,12.2
41,41,1999-04-20,23-274,MIL,,ORL,W (+12),1,40:00,8,15,.533,2,5,.400,0,0,,3,6,9,5,1,1,5,3,18,13.6
42,42,1999-04-21,23-275,MIL,@,IND,L (-8),1,44:00,4,19,.211,0,4,.000,6,8,.750,3,5,8,5,0,0,4,3,14,3.4
43,43,1999-04-23,23-277,MIL,,CLE,W (+4),1,36:00,5,13,.385,1,6,.167,5,5,1.000,2,4,6,3,0,0,5,0,16,8.6
44,44,1999-04-25,23-279,MIL,@,ATL,L (-15),1,35:00,7,14,.500,1,2,.500,6,6,1.000,1,1,2,3,0,0,2,4,21,13.5
45,45,1999-04-26,23-280,MIL,,WAS,W (+8),1,34:00,5,14,.357,3,6,.500,6,6,1.000,0,6,6,2,2,0,0,5,19,14.4
46,46,1999-04-28,23-282,MIL,,TOR,W (+13),1,37:00,7,11,.636,3,5,.600,1,2,.500,0,2,2,7,2,0,2,3,18,17.0
47,47,1999-04-30,23-284,MIL,,DET,L (-5),1,41:00,2,8,.250,0,4,.000,5,6,.833,1,3,4,2,2,1,2,1,9,7.1
48,48,1999-05-01,23-285,MIL,@,BOS,W (+9),1,43:00,9,17,.529,3,7,.429,5,5,1.000,0,3,3,5,1,0,4,5,26,17.1
49,49,1999-05-04,23-288,MIL,,TOR,W (+13),1,36:00,6,11,.545,1,4,.250,6,6,1.000,0,3,3,3,0,0,1,3,19,14.5
50,50,1999-05-05,23-289,MIL,@,NJN,L (-8),1,38:00,9,24,.375,1,8,.125,3,3,1.000,0,5,5,4,2,0,1,0,22,14.1
1,1,1999-11-02,24-105,MIL,@,HOU,W (+5),1,30:00,8,14,.571,0,1,.000,3,4,.750,0,4,4,2,1,0,1,3,19,13.4
2,2,1999-11-04,24-107,MIL,@,ATL,W (+10),1,35:00,10,23,.435,3,7,.429,8,8,1.000,2,3,5,2,1,0,0,1,31,23.2
3,3,1999-11-06,24-109,MIL,,DET,W (+10),1,32:00,8,19,.421,3,6,.500,7,7,1.000,1,6,7,5,0,1,1,5,26,19.6
4,4,1999-11-08,24-111,MIL,@,NYK,L (-10),1,43:00,6,19,.316,2,5,.400,4,5,.800,1,3,4,1,1,0,2,2,18,7.2
5,5,1999-11-10,24-113,MIL,@,CHH,L (-6),1,37:00,8,18,.444,3,6,.500,5,5,1.000,1,3,4,2,1,0,1,2,24,16.8
6,6,1999-11-12,24-115,MIL,,PHO,W (+15),1,32:00,6,15,.400,2,3,.667,6,6,1.000,0,1,1,5,1,0,1,3,20,14.5
7,7,1999-11-13,24-116,MIL,@,CLE,L (-5),1,25:00,7,14,.500,1,4,.250,7,7,1.000,1,1,2,5,2,0,4,5,22,15.5
8,8,1999-11-16,24-119,MIL,,LAC,W (+8),1,35:00,7,16,.438,1,4,.250,4,5,.800,1,2,3,6,0,0,2,3,19,12.5
9,9,1999-11-18,24-121,MIL,,SAS,W (+11),1,40:00,9,19,.474,3,5,.600,5,8,.625,4,4,8,3,1,0,3,3,26,18.0
10,10,1999-11-20,24-123,MIL,,UTA,L (-11),1,42:00,6,17,.353,1,3,.333,10,10,1.000,1,3,4,7,3,0,3,3,23,18.8
11,11,1999-11-21,24-124,MIL,@,DET,L (-19),1,37:00,13,15,.867,4,5,.800,3,3,1.000,0,4,4,10,4,1,2,3,33,37.4
12,12,1999-11-24,24-127,MIL,,CHI,W (+7),1,39:00,6,13,.462,0,3,.000,6,8,.750,1,4,5,3,2,0,1,5,18,13.5
13,13,1999-11-26,24-129,MIL,@,BOS,W (+2),1,38:00,7,13,.538,2,3,.667,2,4,.500,2,1,3,1,1,1,3,3,18,10.8
14,14,1999-11-27,24-130,MIL,,PHI,L (-3),1,41:00,9,25,.360,2,9,.222,3,3,1.000,2,5,7,5,0,1,1,2,23,14.4
15,15,1999-12-02,24-135,MIL,,NYK,L (-4),1,40:00,8,18,.444,3,4,.750,6,7,.857,0,3,3,2,0,0,1,1,25,16.1
16,16,1999-12-04,24-137,MIL,@,CHI,W (+1),1,40:00,7,16,.438,0,2,.000,5,6,.833,0,3,3,4,1,0,6,2,19,8.1
17,17,1999-12-05,24-138,MIL,,DAL,W (+6),1,31:00,6,15,.400,2,5,.400,6,6,1.000,1,3,4,2,0,0,3,1,20,11.5
18,18,1999-12-07,24-140,MIL,,DET,L (-4),1,42:00,9,19,.474,0,0,,3,3,1.000,4,3,7,5,1,0,3,3,21,15.3
19,19,1999-12-08,24-141,MIL,@,NJN,L (-17),1,40:00,4,13,.308,2,4,.500,4,4,1.000,0,3,3,3,2,0,5,4,14,4.9
20,20,1999-12-10,24-143,MIL,@,TOR,W (+16),1,37:00,6,14,.429,0,1,.000,2,2,1.000,0,5,5,3,0,0,1,4,14,7.6
21,21,1999-12-11,24-144,MIL,,DEN,L (-2),1,40:00,9,23,.391,3,8,.375,4,4,1.000,0,2,2,4,0,0,0,1,25,15.5
22,22,1999-12-15,24-148,MIL,@,ORL,W (+17),1,36:00,8,15,.533,3,5,.600,10,10,1.000,0,1,1,7,1,1,3,2,29,24.8
23,23,1999-12-16,24-149,MIL,@,MIA,W (+1),1,41:00,11,24,.458,3,7,.429,3,3,1.000,2,5,7,5,2,0,1,1,28,22.6
24,24,1999-12-18,24-151,MIL,,IND,W (+14),1,36:00,5,17,.294,2,5,.400,4,5,.800,1,3,4,4,0,0,0,1,16,9.7
25,25,1999-12-20,24-153,MIL,@,PHO,L (-7),1,41:00,11,23,.478,5,7,.714,4,4,1.000,1,6,7,3,1,2,1,2,31,24.5
26,26,1999-12-21,24-154,MIL,@,SAC,L (-13),1,32:00,4,16,.250,3,9,.333,1,1,1.000,1,2,3,2,3,0,4,3,12,2.9
27,27,1999-12-23,24-156,MIL,@,SAS,W (+3),1,39:00,5,14,.357,2,3,.667,2,2,1.000,0,2,2,1,2,0,2,2,14,6.7
28,28,1999-12-26,24-159,MIL,,MIA,W (+8),1,40:00,8,18,.444,2,5,.400,4,4,1.000,1,6,7,5,1,0,6,2,22,12.8
29,29,1999-12-29,24-162,MIL,@,CHH,L (-4),1,40:00,11,24,.458,4,8,.500,2,2,1.000,2,0,2,5,2,0,2,1,28,20.1
30,30,1999-12-30,24-163,MIL,,CLE,W (+1),1,36:00,4,14,.286,0,4,.000,7,10,.700,0,3,3,7,2,0,3,3,15,9.2
31,31,2000-01-03,24-167,MIL,@,PHI,L (-4),1,46:00,10,27,.370,3,10,.300,2,2,1.000,1,3,4,4,1,0,2,2,25,12.7
32,32,2000-01-04,24-168,MIL,,ATL,W (+3),1,39:00,11,19,.579,2,4,.500,1,1,1.000,1,4,5,5,2,0,0,0,25,23.5
33,33,2000-01-06,24-170,MIL,@,DET,L (-6),1,42:00,6,17,.353,1,3,.333,2,3,.667,3,2,5,4,4,0,7,3,15,6.4
34,34,2000-01-08,24-172,MIL,,WAS,W (+1),1,42:00,8,17,.471,1,3,.333,11,13,.846,0,3,3,3,0,0,4,6,28,15.1
35,35,2000-01-10,24-174,MIL,,CHH,W (+50),1,30:00,10,16,.625,3,8,.375,3,3,1.000,3,1,4,8,1,0,2,1,26,25.4
36,36,2000-01-12,24-176,MIL,,LAL,L (-9),1,38:00,7,15,.467,1,3,.333,10,10,1.000,1,3,4,2,1,0,3,0,25,18.3
37,37,2000-01-14,24-178,MIL,@,TOR,L (-5),1,37:00,8,16,.500,3,5,.600,6,7,.857,2,4,6,2,1,0,2,2,25,18.8
38,38,2000-01-15,24-179,MIL,,TOR,W (+21),1,36:00,11,15,.733,3,3,1.000,8,10,.800,0,2,2,3,0,0,2,3,33,25.6
39,39,2000-01-17,24-181,MIL,@,ATL,W (+6),1,37:00,10,19,.526,2,3,.667,1,1,1.000,1,3,4,1,1,0,3,2,23,13.2
40,40,2000-01-19,24-183,MIL,@,IND,L (-22),1,29:00,7,13,.538,2,4,.500,0,0,,0,0,0,2,0,0,1,5,16,8.1
41,41,2000-01-20,24-184,MIL,,SEA,L (-8),1,38:00,4,15,.267,1,5,.200,2,3,.667,0,5,5,13,0,0,2,4,11,8.7
42,42,2000-01-26,24-190,MIL,,SAC,W (+8),1,34:00,7,18,.389,2,7,.286,6,6,1.000,1,8,9,5,3,0,4,4,22,16.2
43,43,2000-01-28,24-192,MIL,@,LAL,L (-28),1,33:00,4,14,.286,0,4,.000,6,6,1.000,1,1,2,4,1,0,1,1,14,9.2
44,44,2000-01-29,24-193,MIL,@,SEA,W (+2),1,41:00,8,25,.320,2,10,.200,0,0,,0,5,5,4,1,0,2,2,18,6.2
45,45,2000-01-31,24-195,MIL,@,VAN,W (+5),1,38:00,6,13,.462,1,3,.333,2,2,1.000,0,3,3,5,3,1,3,0,15,13.4
46,46,2000-02-02,24-197,MIL,@,DEN,L (-23),1,36:00,6,16,.375,2,6,.333,8,8,1.000,1,4,5,3,1,0,1,1,22,16.8
47,47,2000-02-03,24-198,MIL,@,UTA,W (+3),1,40:00,12,18,.667,5,7,.714,7,8,.875,2,6,8,2,2,2,3,3,36,31.6
48,48,2000-02-05,24-200,MIL,,TOR,L (-3),1,41:00,5,19,.263,0,6,.000,2,4,.500,2,8,10,1,2,0,3,1,12,3.0
49,49,2000-02-07,24-202,MIL,,POR,L (-4),1,37:00,9,19,.474,4,9,.444,4,5,.800,0,6,6,4,2,0,1,4,26,19.9
50,50,2000-02-09,24-204,MIL,,NYK,L (-6),1,37:00,7,18,.389,3,8,.375,7,7,1.000,0,4,4,7,4,1,4,3,24,19.8
51,51,2000-02-15,24-210,MIL,@,DAL,W (+13),1,39:00,9,20,.450,3,8,.375,6,6,1.000,5,4,9,5,1,0,1,1,27,24.4
52,52,2000-02-17,24-212,MIL,,IND,L (-2),1,32:00,6,13,.462,0,1,.000,6,6,1.000,0,2,2,2,1,0,0,4,18,12.7
53,53,2000-02-19,24-214,MIL,,VAN,L (-11),1,46:00,10,21,.476,1,4,.250,11,13,.846,2,4,6,4,1,0,5,1,32,21.5
54,54,2000-02-22,24-217,MIL,@,WAS,L (-25),1,33:00,7,10,.700,2,4,.500,1,1,1.000,3,0,3,4,0,0,1,2,17,15.9
55,55,2000-02-23,24-218,MIL,,GSW,L (-5),1,42:00,9,19,.474,2,3,.667,4,4,1.000,0,5,5,3,0,0,2,2,24,15.1
56,56,2000-02-25,24-220,MIL,,PHI,L (-14),1,24:00,7,18,.389,1,3,.333,0,0,,2,1,3,1,0,0,2,5,15,3.6
57,57,2000-02-27,24-222,MIL,,ORL,W (+7),1,38:00,8,20,.400,2,5,.400,8,8,1.000,2,7,9,4,0,2,2,4,26,19.3
58,58,2000-03-02,24-226,MIL,@,NYK,L (-15),1,38:00,9,15,.600,3,5,.600,4,5,.800,0,2,2,4,1,0,2,1,25,19.7
59,59,2000-03-04,24-228,MIL,,MIN,L (-7),1,42:00,11,22,.500,1,6,.167,5,5,1.000,2,1,3,5,1,0,2,1,28,20.8
60,60,2000-03-06,24-230,MIL,,ATL,W (+33),1,30:00,5,13,.385,3,5,.600,0,0,,0,3,3,2,2,0,2,2,13,7.4
61,61,2000-03-08,24-232,MIL,@,BOS,L (-11),1,40:00,11,20,.550,4,7,.571,2,3,.667,0,4,4,1,5,0,3,1,28,21.5
62,62,2000-03-10,24-234,MIL,,NJN,L (-28),1,35:00,5,11,.455,2,5,.400,4,4,1.000,0,9,9,7,0,0,2,3,16,14.7
63,63,2000-03-12,24-236,MIL,,CLE,W (+31),1,33:00,7,17,.412,1,6,.167,3,3,1.000,0,6,6,6,0,0,1,1,18,13.5
64,64,2000-03-14,24-238,MIL,@,MIA,L (-4),1,43:00,7,13,.538,3,3,1.000,9,11,.818,3,2,5,3,1,1,2,2,26,22.6
65,65,2000-03-16,24-240,MIL,,HOU,W (+10),1,42:00,10,18,.556,3,6,.500,5,8,.625,1,5,6,7,3,1,1,0,28,28.0
66,66,2000-03-18,24-242,MIL,@,NJN,L (-2),1,45:00,5,20,.250,0,7,.000,0,0,,2,4,6,4,2,0,4,4,10,-0.2
67,67,2000-03-19,24-243,MIL,@,MIN,L (-27),1,36:00,2,16,.125,2,3,.667,4,4,1.000,0,3,3,0,0,0,1,0,10,-0.5
68,68,2000-03-23,24-247,MIL,@,IND,W (+21),1,40:00,11,20,.550,1,3,.333,3,3,1.000,1,6,7,2,5,0,1,3,26,23.1
69,69,2000-03-24,24-248,MIL,,MIA,L (-12),1,43:00,15,20,.750,6,9,.667,0,0,,2,2,4,2,0,0,4,1,36,27.0
70,70,2000-03-26,24-250,MIL,,BOS,W (+15),1,43:00,12,20,.600,3,7,.429,0,0,,1,4,5,2,3,0,1,4,27,21.5
71,71,2000-03-30,24-254,MIL,@,LAC,W (+19),1,37:00,14,19,.737,4,6,.667,3,3,1.000,0,4,4,3,2,0,3,0,35,29.6
72,72,2000-04-01,24-256,MIL,@,POR,L (-34),1,35:00,4,13,.308,1,3,.333,4,5,.800,1,4,5,2,1,1,2,1,13,7.7
73,73,2000-04-02,24-257,MIL,@,GSW,W (+4),1,43:00,10,19,.526,3,4,.750,4,5,.800,1,1,2,3,1,0,2,2,27,18.6
74,74,2000-04-04,24-259,MIL,,CHI,W (+19),1,31:00,6,13,.462,2,4,.500,4,5,.800,0,1,1,1,3,0,1,2,18,13.1
75,75,2000-04-06,24-261,MIL,@,CHI,L (-2),1,40:00,6,19,.316,1,4,.250,6,7,.857,2,3,5,0,1,0,3,1,19,7.6
76,76,2000-04-08,24-263,MIL,,NJN,W (+8),1,33:00,9,17,.529,1,4,.250,2,3,.667,0,5,5,4,0,1,1,3,21,15.1
77,77,2000-04-10,24-265,MIL,,ORL,W (+17),1,39:00,11,20,.550,4,4,1.000,7,7,1.000,0,3,3,6,2,1,2,1,33,28.8
78,78,2000-04-12,24-267,MIL,@,CLE,W (+1),1,45:00,11,20,.550,1,6,.167,4,6,.667,1,3,4,5,1,0,3,4,27,18.1
79,79,2000-04-14,24-269,MIL,,CHH,L (-3),1,48:00,7,19,.368,3,9,.333,9,10,.900,0,5,5,6,2,1,5,1,26,18.1
80,80,2000-04-15,24-270,MIL,@,WAS,W (+4),1,49:00,9,22,.409,5,7,.714,6,6,1.000,3,1,4,7,2,0,3,3,29,22.3
81,81,2000-04-17,24-272,MIL,@,ORL,W (+2),1,32:00,5,9,.556,1,3,.333,1,2,.500,0,3,3,1,3,0,3,3,12,7.7
